Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Form_Factor,Connectivity_Type
"Zebronics Zeb Yoga 101 (Red) Wireless Neckband Earphone with 10mm Neodymium Driver, Dual Pairing, Magnetic Earpiece and Voice Assistant","₹2,499","1,297",ZEBRONICS,Zeb Yoga 101,RED,In Ear,Wireless
"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (White)","₹3,298",699,PTron,Bassbuds,Pearl White,In Ear,Bluetooth 5.1
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Green)",₹399,149,ZEBRONICS,ZEB-BRO(Green),Green,In Ear,Wired
"Jabra Elite 85t True Wireless Bluetooth Earbuds, Copper Black – Advanced Noise-Cancelling Earbuds with Charging Case for Calls & Music – Wireless Earbuds with Superior Sound & Premium Comfort","₹61,365","39,557",Jabra,Elite 85t,Copper Black,In Ear,Bluetooth
"boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Upto 8 Hours Playback, 12mm Drivers, IPX5, Magnetic Eartips, Integrated Controls and Lightweight Design with Mic (Raging Red)","₹2,490","1,099",boAt,Rockerz,Raging Red,In Ear,Bluetooth 5.3
"(Renewed) Zebronics Zeb-Symphony Wireless Neckband Earphone with BT v5.2, Type C Charging, Voice Assistant Support, 13H Backup, Splash Proof, Magnetic earpiece, Calling and Built-in Rechargeable Battery (Blue)",,,ZEBRONICS,Zeb- Symphony( Blue),Blue,In Ear,Wireless
boAt Bassheads 105 Wired in Ear Earphones with Mic (Black),₹999,449,boAt,Bassheads 105,Black,In Ear,Wired
boAt (Renewed) Rockerz 510 Wireless Bluetooth On Ear Headphone with Mic (Black),,,boAt,Rockerz 510,Black,On Ear,Wireless
Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Blue),₹999,349,Boult Audio,Bassbuds,Blue,In Ear,Wireless
"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","₹7,990","3,999",boAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0
"pTron Bassbuds Wave ENC Bluetooth 5.3 Wireless in Ear Earbuds, 40Hrs Total Playtime, Movie Mode & Deep Bass, Low Latency, Stereo Calls, Snug-fit, Smooth Touch Control & Type-C Charging (Black)","₹4,599","1,099",PTron,Bassbuds,Black,nan,nan
Jabra Evolve 40 MS Wired Bluetooth On Ear Headphone with Mic (Black),"₹15,066","10,450",Jabra,Jabra EVOLVE 40 MS Stereo wired USB headset,Black,On Ear,USB
"Boult Audio X1 Buds True Wireless in Ear Earbuds with 24H Playtime, Quad Mic ENC, Made in India, Type-C Fast Charging, Environmental Noise Cancellation, 10mm Bass Drivers, TWS Airbass ear buds (White)","₹6,999","1,799",Boult Audio,Bassbuds,White,In Ear,Bluetooth 5.1
(Renewed) Skullcandy Push Active True Wireless Earbuds with 44 Hours Total Battery & IP55 Sweat and Water Resistant (Light Gray Blue),,,Skullcandy,Push Active,Orange Black,In Ear,Wireless
"Portronics Conch 80 in Ear Wired Earphones with Mic, 3.5mm Jack, 10mm Dynamic Drivers, Extra Bass, Magnetic Latch, Nylon Braided Wire(Black)",₹599,399,Portronics,Conch 80,Black,In Ear,Wired
(Renewed) boAt Airdopes 441 Pro Bluetooth Truly Wireless In Ear Earbuds with Mic (Raging Red),,,boAt,,Raging Red,In Ear,Wireless
"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Black)",₹899,229,PTron,Pride Lite,Black,In Ear,Wired
ZEBRONICS Zeb-Sound Bomb 8 Light Weight Earbuds with 12Hours* of Playback time.(Black),"₹3,599","1,099",ZEBRONICS,Zeb-Sound Bomb 8(Black),Black,In Ear,Wireless
"Meyaar SPN UpBeat-1 Earbuds, Wired Headphones with Microphone and Ear Bud Tip Replacements, Universal 3.5 mm Plug for Most Smartphones, Tablets, Noise Isolating, Memory Foam Pads, Deep Bass (White)",₹349,129,Meyaar,Upbeat-1,Black,In Ear,Wired
"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Black)",₹899,229,PTron,Pride Lite,Black,In Ear,Wired
"pTron Bassbuds Wave ENC Bluetooth 5.3 Wireless in-Ear TWS Earbuds with Mic, 40Hrs Total Playtime, Movie Mode & Deep Bass, Low Latency, Stereo Calls, Smooth Touch Control & Type-C Fast Charging (Grey)","₹4,599","1,099",PTron,Bassbuds,Rich Grey,nan,nan
(Renewed) Skullcandy Sesh Evo Truly Wireless Bluetooth In Ear Earbuds with Mic (Bleached Blue),,,Skullcandy,,Blue,In Ear,Wireless
Meyaar M-11 High Bass Wired in-Ear Earphone with Mic ((Pack of 3) Pink + Black + Grey),₹999,379,Meyaar,M-11_(Pink + Black + Grey),(Pack of 3) Pink + Black + Grey,In Ear,Wired
"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (White)","₹3,298",699,PTron,Bassbuds,Pearl White,In Ear,Bluetooth 5.1
"ZEBRONICS Jumbo LITE with 70 Hours Backup, Bluetooth v5.2 Wireless Neckband, Fast Charging, ENC Calling, Gaming Mode (Upto 50ms), Voice Assistant, Dual Pairing, Splash Proof, and Type C (Navy)","₹2,999",999,ZEBRONICS,Zeb Yoga 7 (Jumbo Lite),Navy,In Ear,Wireless
(Renewed) boAT 103 Bluetooth Wireless Active Black In Ear Earphone with mic (Black),,,boAt,Boat 103-cr,Black,In Ear,Wireless
(Renewed) Boat Super Bass Rockerz 400 Bluetooth On-Ear Headphones with Mic (Black/Blue),,,boAt,,Multicolor,On Ear,Wireless
"boAt Airdopes 413ANC True Wireless in Ear Earbuds (Carbon Black) & Xtend Smartwatch with Alexa Built-in, 1.69” HD Display(Charcoal Black) & Xtend/Xtend RTL Smartwatch with Alexa Built-in(Sandy Cream)",,,boAt,,Carbon Black,In Ear,Wireless
"pTron Basspods 992 Active Noise Cancelling (ANC) Bluetooth 5.0 Wireless in Ear Earbuds with mic, Deep Bass, Low Latency, Ergonomic Touch Control Voice Assistance & IPX4 Water-Resistant (White)","₹4,599",989,PTron,Basspods 992,White,nan,nan
(Renewed) ZEBRONICS Zeb-Symphony Bluetooth Wireless In Ear Earphone with Mic with Voice Assistant (Black),,,ZEBRONICS,,black,In Ear,Bluetooth
"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.1 Ear Buds TWS (White)","₹4,999","1,499",Boult Audio,AirBass,Z40 White,In Ear,Wireless
"Boult Audio AirBass PowerBuds with 120H Total Playtime, Inbuilt Powerbank, IPX7 Fully Waterproof, Type-C Fast Charging, Low Latency Gaming, Pro Calling Mic Airbass True Wireless in Ear Earbuds (Blue)","₹8,999","1,499",Boult Audio,AirBass,Blue,In Ear,Bluetooth 5.0
"(Renewed) boAt Rockerz 255 Pro+ Wireless In Ear Earphones with 40 Hours Battery, ASAP Charge, IPX7, Bluetooth Version 5.0, 10mm Drivers and Voice Assistant with mic (Active Black)",,,boAt,Rockerz 255 Pro+,Black; Active Black,In Ear,Wireless
"Boult Audio Omega with 30dB ANC+ENC, 32H Playtime, 45ms Xtreme Latency Mode, Quad Mic ENC, Type-C Fast Charging, Active Noise Cancellation, TWS BT Gaming Airbass True Wireless in Ear Earbuds (White)","₹9,999","1,999",Boult Audio,AirBass,Omega White,In Ear,Wireless
"boAt Rockerz 330 in-Ear Bluetooth Neckband with Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual Pairing & IPX5 with Mic (Active Black) & r Headphones",,999,boAt,,Active Black,On Ear,Wireless
"CableCreation 3.5mm TRS Aux Cable, Braided Audio Auxiliary Input Adapter Male to Male for Car, Hi-Fi Sound, Cotton Compatible with Headphone, Galaxy S22, Phone, Home Stereo, Car Stereo&More",,599,CableCreation,,"Gold, White, Black",nan,Auxiliary
"pTron Bassbuds Sports V2 Bluetooth 5.3 Wireless Over Ear Headphone with Mic, Earhooks, 48Hrs Playtime, Snug-fit Design, ENC TWS Earbuds, Immersive Sound, Movie/Music Mode & Type-C Charging (Black)","₹3,199","1,099",PTron,Bassbuds Sports,Black,In Ear,Wireless
"ZEBRONICS Zeb-Symphony Bluetooth Wireless in Ear Earphones with Mic V5.2 Type C Charging, Voice Assistant Support, Splash Proof Magnetic Earpiece Calling Built-in Rechargeable Battery (Red)","₹1,299",699,ZEBRONICS,Zeb-Symphony (Red),Red,In Ear,Wireless
"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Blue)",₹749.17,229,PTron,Pride Lite,Blue,In Ear,Wired
"ZEBRONICS Zeb-Sound Bomb G1 Gaming Bluetooth Truly Wirelss in Ear Earbuds, 50Ms Low Latency, AAC Support, Flash Connect, Deep Bass, Splash Proof, Voice Assistant, Bt V5.0 with Mic (Black)","₹3,999","1,099",ZEBRONICS,ZEB-SOUND BOMB G1 (BLACK),Black,In Ear,Wireless
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook","₹4,695","3,964",Logitech,H390 Headset,Black,On Ear,Wired
Jabra EVOLVE 65 UC Duo Wireless Bluetooth On Ear Headphone with Mic (Black),"₹27,621","23,300",Jabra,,Black,On Ear,Wireless
"ZEBRONICS Yoga N2 RGB Neckband with 30H Playtime, ENC Mic, Upto 50ms Gaming Mode, Powerful Bass, Voice Asst, IPX4, Dual Pairing, Type C Port, Bluetooth v5.2 Wireless in Ear Earphones with Mic(Black)","₹3,999",899,ZEBRONICS,ZEB-YOGA N2 (Black),Black,In Ear,Wireless
"PTron Boom Ultima V2 Dual Driver, in Ear Gaming Wired Earphones with Mic, Volume Control, Passive Noise Cancelling Boom 3 with 3.5mm Audio Jack & 1.2M Tangle-Free Cable (Black)","₹1,583",399,PTron,Boom Ultima V2,Black,nan,nan
"Logitech H340 Stereo Wired Over Ear Headphones With Mic With Noise-Cancelling, Usb, Pc/Mac/Laptop - Black","₹3,195","2,470",Logitech,l1,Black,Over Ear,Wired
"ZEBRONICS Sound Bomb 7 Bluetooth TWS in Ear Earbuds with 40H Playtime, ENC Mic, Rapid Charge, Upto 50ms Gaming Mode, Flash Connect, Voice Assistant, Smooth Touch Control, BT v5.2, Type C (White)","₹4,299",999,ZEBRONICS,Zebronics ZEB-SOUND BOMB 7 (White),White,In Ear,Wireless
"Portronics Harmonics Z2 Wireless Bluetooth 5.2 Headset with Mic, ENC Noise Cancelling, Upto 30Hrs Playtime, Fast Charging Type C Neckband, Voice Assistant, & in-line Controls (Red)","₹1,999",769,Portronics,Harmonics Z2,Red,In Ear,Wireless
"ZEBRONICS Yoga N2 RGB in Ear Neckband with 30H Playtime, ENC Mic, Upto 50ms Gaming Mode, Powerful Bass, Voice Assistant, IPX4, Dual Pairing, BT v5.2, Type C Port, Wireless Earphones with Mic(Blue)","₹3,999",899,ZEBRONICS,ZEB-YOGA N2 (BLUE),Blue,In Ear,Wireless
"boAt Rockerz 425 Bluetooth Wireless Over Ear Headphones with Mic with Signature Sound, Beast Mode(Upto 65Ms Low Latency) for Gaming Enx Tech, ASAP Charge 25H Playtime V5.2, Dual Pairing (Oceana Blue)","₹2,999","1,499",boAt,Rockerz 425,Oceana Blue,Over Ear,Bluetooth
"Jabra Elite 4 Active in-Ear Bluetooth Earbuds – True Wireless Earbuds with Secure Active Fit, 4 Built-in Microphones, Active Noise Cancellation and Adjustable HearThrough Technology – Navy",,"15,980",Jabra,Elite 4 Active,Navy,In Ear,Wireless
"Portronics Conch 50 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack(Violet)",₹499,299,Portronics,Conch 50,Violet,In Ear,Wired
"boAt Rockerz 330 in-Ear Bluetooth Neckband with Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual Pairing & IPX5 with Mic (Raging Red)","₹3,990","1,599",boAt,Rockerz 330,Raging Red,In Ear,Bluetooth 5.0
"boAt Airdopes 141 Bluetooth Truly Wireless Earbuds with Upto 42H Playtime, Beast Mode Low Latency Upto 80ms for Gaming, ENx Tech, ASAP Charge, IWP, Smooth Touch Controls with Mic",,,boAt,,Clear,"In Ear, On Ear",Wireless
"Portronics Conch 70 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack, 1.2M(White)",₹599,289,Portronics,Conch 70,White,In Ear,Wired
"Noise Buds VS402 Truly Wireless in Ear Earbuds, 35-Hours of Playtime (Neon Black) & ColorFit Pulse Spo2 Smart Watch & IP68 Waterproof (Jet Black) & Pulse Go Buzz Smart Watch Bluetooth Calling (Black)",,,Noise,,Neon Black,In Ear,Wireless
"Portronics Conch 50 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack(Yellow)",₹499,299,Portronics,Conch 50,Yellow,In Ear,Wired
Jabra 40 Stereo Wired On Ear Headphones with mic Black,"₹19,500","10,500",Jabra,40 Stereo,Black,Over Ear,Wired
boAt Rockerz 450 Bluetooth On Ear Headphones with Mic(Aqua Blue) & Airdopes 121v2 in-Ear True Wireless Earbuds(Midnight Blue) & Airdopes 121v2 in-Ear True Wireless Earbuds,,"1,399",boAt,,Aqua Blue,On Ear,Wireless
"Meyaar DG-Beex Pack of 3 Headset with High Bass Headphones with Microphone, Earbuds Wired Stereo Earphones for All Smartphones (3 Black) (Set of 3 Black)",₹999,329,Meyaar,,Set of 3 Black,In Ear,Wired
"pTron Bassbuds Perl in-Ear TWS Earbuds with TruTalk ENC, Bluetooth 5.3 Wireless Headphone with Mic, Deep Bass, Low Latency, HD Stereo Call, Pinch Control & Type-C Fast Charging (Black)","₹3,199","1,099",PTron,Bassbuds,Black,nan,nan
"ZEBRONICS Zeb-Sound Bomb G1 Gaming Bluetooth Truly Wireless in Earbuds, 50Ms Low Latency, AAC Support, Flash Connect, Deep Bass, Splash Proof, Voice Assistant, Bt V5.0 with Mic (Black + Red)","₹3,999","1,099",ZEBRONICS,ZEB-SOUND BOMB G1 (BLACK + RED),Black+Red,In Ear,Wireless
Jabra Engage 50 Wired Headset with Mic (Black),"₹25,771","23,967",Jabra,,Black,nan,Wired
boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband Active Black & Bassheads 242 in Ear Wired Earphones with Mic(Active Black) & Stone 135 Portable Wireless Speaker(Soldier Green),,,boAt,,Active Black,nan,nan
"Portronics Harmonics Twins 27 Smart TWS Earbuds with ANC+ENC Noise Cancelling, 35 Hrs Playtime, Voice Assistant, Dual Mic. Support, Feather Touch(White)","₹3,999","1,699",Portronics,Harmonics Twins 27,White,In Ear,Wireless
(Renewed) Zebronics Zeb-Bang Bluetooth Headphone with Voice Assistant (Red),,,ZEBRONICS,,red,nan,Wireless
"Meyaar SP Dual Driver Earphones,6D Sound High End Sport Earbuds Noise Isolating Deep Bass in Ear Earphones with Microphones Headphones with Volume Control (Metal Black)",₹999,249,Meyaar,,Metal Black,In Ear,Wireless
"Boult Audio Z15 with 32Hrs Playtime, Pro+Calling HD Mic, Type-C Lightning Boult Fast Charging (10mins=100Mins), BoomX Tech Rich Bass, Touch Controls, IPX5, Truly Wireless in Ear Earbuds TWS (Black)","₹2,999","1,199",Boult Audio,AirBass,Z15 Black,In Ear,Wireless
"boAt Immortal IM1000D Dual Channel Wired Over Ear Headphones with Mic, Gaming Headphones(White Sabre) & Flash Edition Smartwatch with Activity Tracker,Multiple Sports Modes(Moon Red)",,,boAt,,White Sabre,nan,nan
"Boult Audio Airbass Fx1 Bluetooth Truly Wireless in Ear Earbuds with Mic with 32H Total Playtime, Type-C Fast Charging, Touch Controls, Ipx5 Sweatproof and Voice Assistant (White)","₹4,999","1,099",Boult Audio,AirBass,White,In Ear,Wireless
Skullcandy Jib Wired in Ear Earbuds with Microphone- Cobalt Blue,"₹1,999",820,Skullcandy,Jib with Mic,Cobalt Blue,In Ear,Wired
"pTron Tangent Duo Bluetooth 5.2 Wireless Earphones, 24Hrs Playback, 13mm Dynamic Driver, Deep Bass, HD Calls, Fast Charging Type-C Neckband, Voice Assistant & IPX4 Water Resistant (Black/Blue)","₹1,899",549,PTron,Tangent,Black/Blue,nan,nan
(Renewed) Skullcandy Dime 2 True Wireless In Ear Earbuds (Black),,,Skullcandy,Dime 2 TWS,Black,In Ear,Wireless
Meyaar SPN UpBeat-1 Wired in Ear Earphone with Mic (Blue+Brown),₹799,299,Meyaar,Upbeat-1,Blue+Brown,In Ear,Wired
Skullcandy Hesh3 Wireless Over-Ear Headphone with Mic (Black),,"5,899",Skullcandy,Hesh 3,Black,Over Ear,Wireless
"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, with Mic (Teal Green)","₹3,990","1,299",boAt,Rockerz 255 Pro+,Teal Green,In Ear,Bluetooth 5.0
"CableCreation 3.5mm TRS Aux Cable, Braided Audio Auxiliary Input Adapter Male to Male for Car, Hi-Fi Sound, Cotton Compatible with Headphone, Galaxy S22, Phone, Home Stereo, Car Stereo&More",,599,CableCreation,,"Gold, White, Black",nan,Auxiliary
(Renewed) boAt Rockerz 600 Bluetooth Headphones,,,boAt,Rockerz,Black,On Ear,Wireless
"Wings Phantom 410 Best Low Latency 40ms Wireless Earbuds, Gaming Case with Digital Battery Indicator, 70 Hours Playtime, in Ear Airpods, ENC Mic, Touch Controls TWS Headset","₹2,999","1,446",Wings,Phantom 410,Black,nan,nan
"(Renewed) boAt Airdopes 141 Tws Bluetooth Truly Wireless In Ear Earbuds With Mic 42H Playtime, Beast Mode, Enx Tech, Asap Charge, Iwp, Ipx4 Water Resistance, Smooth Touch Controls(Pure White)",,"1,099.",boAt,Airdopes 141,Pure White,In Ear,Wireless
(Renewed) BoAt Rockerz 600 Bluetooth Headphones (Brown),,,boAt,,Brown,On Ear,Wired
(Renewed) Boult Audio ProBass EQCharge Bluetooth Headset (Black),,,Boult Audio,ProBass EQCharge Bluetooth (Black)-cr,Black,nan,Wireless
"Boult Audio Airbass Z10 Bluetooth Truly Wireless in Ear Earbuds with Mic with 30H Playtime & Fast Charging with Type-C, Ipx7 Fully Waterproof and Voice Assistant (Grey)","₹4,999","1,199",Boult Audio,AirBass,Grey,In Ear,Wireless
Meyaar M12 Edition Wired Durable Metal Earphones Earbuds with Microphone with Noise Isolating Earphones Earbuds with Remote & Mic Headset Stereo Headphones for Android & iOS Smartphones (Metal White),₹999,259,Meyaar,,Metal White,In Ear,wired usb
Skullcandy Dime Bluetooth Truly Wireless in Ear Earbuds with Mic (Light Gray Blue),"₹7,499","2,699",Skullcandy,Dime TWS,Light Gray Blue,In Ear,Wireless
"Portronics Harmonics Twins S3 Smart TWS Bluetooth 5.2 Earbuds with 20 Hrs Playtime, 8 MM Drivers, Lightweight Earbuds(Black)","₹1,999","1,099",Portronics,Twins S3,Black,In Ear,Wireless
boAt Bassheads 102 in Ear Wired Earphones with Mic(Fiery Red),"₹1,290",449,boAt,Bassheads,Fiery Red,In Ear,3.5 mm Jack
"Logitech H340 Stereo Wired Over Ear Headphones With Mic With Noise-Cancelling, Usb, Pc/Mac/Laptop - Black","₹3,195","2,470",Logitech,l1,Black,Over Ear,Wired
Meyaar Kidz Earphones Without Mic Colorful in-Ear Headphones Earphones with 3.5mm Jack Stereo Bulk Earbuds for Classroom School Library - 10 Pack (Without Mic),₹999,499,Meyaar,,Black,In Ear,wired usb
"Jabra Elite 3 in Ear Wireless Bluetooth Earbuds – Noise Isolating True Wireless Buds with 4 Built-in Microphones for Clear Calls, Rich Bass, Customizable Sound, and Mono Mode - Lilac","₹21,303","16,671",Jabra,Elite 3,Lilac,In Ear,Bluetooth
"boAt Newly Launched Rockerz 378 Bluetooth Neckband with Spatial Bionic Sound Tuned by THX, Beast™ Mode, ASAP™ Charge, Signature Sound, 25 Hours Playtime & BT v5.1(Electric Blue)","₹3,490","1,299",boAt,Rockerz 378,Electric Blue,In Ear,Bluetooth
"Wings X Fire Wireless Gaming Earbuds,TWS Headphones with RGB Lights case, 40ms Low Latency, Bluetooth 5.3, 40 Hours Playtime, ENC, 8mm Speaker Size (Black TWS)","₹3,999","1,598",Wings,,Black,nan,nan
"Skullcandy Hesh Evo Wireless Over-Ear Headphone, Rapid Charge (10 min = 3 hrs), Noise-Isolating Fit and Built-in Tile Finding Technology (Blue)","₹14,999","8,499",Skullcandy,Hesh Evo,Blue,Over Ear,Wireless
"(Renewed) Skullcandy Dime True Wireless Earbuds with 12 Hours Total Battery, IPX4 Sweat and Water Resistant, Secure Noise Isolating Fit (Golden Red)",,,Skullcandy,Dime TWS,Golden Red,In Ear,Wireless
"Meyaar SPN Edition SP-26 Wired Durable Metal Earphones Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for Cell Phones, Laptop, Tablet, (Black)",₹799,129,Meyaar,,Metal Black,In Ear,wired usb
"pTron Bassbuds Xtreme in Ear Bluetooth Truly Wireless in Ear Earbuds with mic, 32Hrs Playtime, BT5.3, 13mm Driver, Stereo Calls, DeepBass, Zany Case & Type-C Fast Charging (Grey/Black)","₹4,599","1,099",PTron,Bassbuds Xtreme,Grey/Black,nan,nan
